8240 4 4
0.0282 0.0282 0.0282 0.0282
0.0282 0.0282 0.0282 0.0282
0.0282 0.0282 0.0282 0.0282
0.0282 0.0282 0.0282 0.0282
0.0281 0.023 0.023 0.0281
0.0281 0.023 0.023 0.0281
0.0281 0.0281 0.0281 0.0281
0.0281 0.0281 0.0281 0.0281
0.0281 0.0281 0.0281 0.0281
0.0281 0.0281 0.0281 0.0281
0.025 0.0281 0.025 0.0281
0.025 0.0281 0.025 0.0281
0.0252 0.0252 0.0252 0.0252
0.0252 0.0252 0.0252 0.0252
0.0259 0.0259 0.0259 0.0259
0.0259 0.0259 0.0259 0.0259
0.0251 0.0251 0.0251 0.0251
0.0251 0.0251 0.0251 0.0251
0.0259 0.0259 0.0259 0.0259
0.0259 0.0259 0.0259 0.0259
0.0252 0.0251 0.0251 0.0279
0.0252 0.0251 0.0251 0.0279
0.0191 0.02 0.0191 0.02
0.0191 0.02 0.0191 0.02
0.02 0.02 0.02 0.02
0.02 0.02 0.02 0.02
0.0225 0.0265 0.0225 0.0265
0.0225 0.0265 0.0225 0.0265
0.0265 0.0214 0.0214 0.0265
0.0265 0.0214 0.0214 0.0265
0.025 0.0216 0.0213 0.0259
0.025 0.0216 0.0213 0.0259
0.0217 0.0224 0.0212 0.0254
0.0217 0.0224 0.0212 0.0254
0.0254 0.0253 0.0251 0.0269
0.0254 0.0253 0.0251 0.0269
0.0252 0.0261 0.0212 0.0261
0.0252 0.0261 0.0212 0.0261
0.0237 0.026 0.0212 0.026
0.0237 0.026 0.0212 0.026
0.026 0.0257 0.0241 0.0265
0.026 0.0257 0.0241 0.0265
0.0257 0.0241 0.0236 0.0261
0.0257 0.0241 0.0236 0.0261
0.0261 0.0268 0.0241 0.0268
0.0261 0.0268 0.0241 0.0268
0.0243 0.0267 0.0243 0.0268
0.0243 0.0267 0.0243 0.0268
0.0267 0.0266 0.025 0.0267
0.0267 0.0266 0.025 0.0267
0.0251 0.0253 0.0251 0.0267
0.0251 0.0253 0.0251 0.0267
0.0251 0.0266 0.0251 0.0267
0.0251 0.0266 0.0251 0.0267
0.0252 0.0276 0.0252 0.0276
0.0252 0.0276 0.0252 0.0276
0.026 0.0259 0.0259 0.026
0.026 0.0259 0.0259 0.026
0.0275 0.0266 0.0259 0.0275
0.0275 0.0266 0.0259 0.0275
0.0276 0.012 0.012 0.0276
0.0276 0.012 0.012 0.0276
0.02 0.0268 0.02 0.0269
0.02 0.0268 0.02 0.0269
0.0258 0.0265 0.0233 0.0268
0.0258 0.0265 0.0233 0.0268
0.0265 0.0275 0.0245 0.0275
0.0265 0.0275 0.0245 0.0275
0.0254 0.0248 0.0248 0.0273
0.0254 0.0248 0.0248 0.0273
0.024 0.0269 0.0028 0.027
0.024 0.0269 0.0028 0.027
0.0268 0.0268 0.0203 0.0268
0.0268 0.0268 0.0203 0.0268
0.0254 0.0242 0.0242 0.0254
0.0254 0.0242 0.0242 0.0254
0.0254 0.0263 0.0254 0.0263
0.0254 0.0263 0.0254 0.0263
0.0262 0.0253 0.0252 0.0267
0.0262 0.0253 0.0252 0.0267
0.0266 0.0257 0.0253 0.0266
0.0266 0.0257 0.0253 0.0266
0.026 0.0263 0.0257 0.0264
0.026 0.0263 0.0257 0.0264
0.0263 0.0257 0.0257 0.0263
0.0263 0.0257 0.0257 0.0263
0.0263 0.0263 0.0263 0.0263
0.0263 0.0263 0.0263 0.0263
0.0263 0.0256 0.0254 0.0263
0.0263 0.0256 0.0254 0.0263
0.026 0.0262 0.0254 0.0262
0.026 0.0262 0.0254 0.0262
0.0254 0.0262 0.0254 0.0262
0.0254 0.0262 0.0254 0.0262
0.0254 0.0261 0.0242 0.0262
0.0254 0.0261 0.0242 0.0262
0.0261 0.0248 0.0248 0.0261
0.0261 0.0248 0.0248 0.0261
0.0251 0.0252 0.0251 0.026
0.0251 0.0252 0.0251 0.026
0.0252 0.0252 0.0251 0.026
0.0252 0.0252 0.0251 0.026
0.0252 0.0253 0.0251 0.0254
0.0252 0.0253 0.0251 0.0254
0.0248 0.025 0.0248 0.0259
0.0248 0.025 0.0248 0.0259
0.026 0.0261 0.0254 0.0261
0.026 0.0261 0.0254 0.0261
0.0256 0.0261 0.0252 0.0262
0.0256 0.0261 0.0252 0.0262
0.0261 0.0261 0.0261 0.0262
0.0261 0.0261 0.0261 0.0262
0.026 0.0262 0.0252 0.0262
0.026 0.0262 0.0252 0.0262
0.0254 0.0254 0.0253 0.026
0.0254 0.0254 0.0253 0.026
0.0254 0.0258 0.0248 0.0258
0.0254 0.0258 0.0248 0.0258
0.0259 0.0259 0.0252 0.0259
0.0259 0.0259 0.0252 0.0259
0.0254 0.0248 0.0248 0.0258
0.0254 0.0248 0.0248 0.0258
0.0258 0.026 0.025 0.026
0.0258 0.026 0.025 0.026
