2153 4 4
0.11698214 0.1155 0.1155 0.1194521
0.11698214 0.1155 0.1155 0.1194521
0.1155 0.112227 0.11222219 0.11710748
0.1155 0.112227 0.11222219 0.11710748
0.112227 0.10451 0.10130009 0.11280399
0.112227 0.10451 0.10130009 0.11280399
0.1045 0.102823 0.10201721 0.10618899
0.1045 0.102823 0.10201721 0.10618899
0.102823 0.09774 0.09770002 0.10620444
0.102823 0.09774 0.09770002 0.10620444
0.098075 0.09336999 0.09111111 0.10149999
0.098075 0.09336999 0.09111111 0.10149999
0.09335997 0.08932301 0.089 0.09392307
0.09335997 0.08932301 0.089 0.09392307
0.08931801 0.08529805 0.08529335 0.0905
0.08931801 0.08529805 0.08529335 0.0905
0.08529805 0.0945 0.0845 0.09749876
0.08529805 0.0945 0.0845 0.09749876
0.0945 0.08967894 0.08858649 0.09584307
0.0945 0.08967894 0.08858649 0.09584307
0.08967894 0.086065 0.08557313 0.0901
0.08967894 0.086065 0.08557313 0.0901
0.086075 0.085866 0.08404609 0.0874
0.086075 0.085866 0.08404609 0.0874
0.08585601 0.08630071 0.08583101 0.09
0.08585601 0.08630071 0.08583101 0.09
0.08631071 0.0843992 0.08422224 0.090009
0.08631071 0.0843992 0.08422224 0.090009
0.0844 0.08325315 0.08233186 0.08492285
0.0844 0.08325315 0.08233186 0.08492285
0.0832532 0.0876 0.08224444 0.0876
0.0832532 0.0876 0.08224444 0.0876
0.0876 0.08350016 0.0826 0.0889
0.0876 0.08350016 0.0826 0.0889
0.08350016 0.08151818 0.081321 0.08502185
0.08350016 0.08151818 0.081321 0.08502185
0.08152819 0.08111001 0.0811 0.08219289
0.08152819 0.08111001 0.0811 0.08219289
0.08111001 0.078105 0.07800004 0.08162008
0.08111001 0.078105 0.07800004 0.08162008
0.078105 0.07558128 0.07555555 0.078429
0.078105 0.07558128 0.07555555 0.078429
0.07557128 0.076 0.07444444 0.07704483
0.07557128 0.076 0.07444444 0.07704483
0.076 0.07427003 0.07401 0.07754409
0.076 0.07427003 0.07401 0.07754409
0.0742748 0.0724 0.0724 0.0753
0.0742748 0.0724 0.0724 0.0753
0.0724 0.08088 0.07222233 0.0822
0.0724 0.08088 0.07222233 0.0822
0.08089 0.074 0.074 0.08164836
0.08089 0.074 0.074 0.08164836
0.074 0.089605 0.074 0.0995
0.074 0.089605 0.074 0.0995
0.089605 0.07901 0.07434697 0.089605
0.089605 0.07901 0.07434697 0.089605
0.07947999 0.07419298 0.0735 0.08362264
0.07947999 0.07419298 0.0735 0.08362264
0.07420298 0.0768 0.07336143 0.07885165
0.07420298 0.0768 0.07336143 0.07885165
0.0768 0.08602 0.07545369 0.09500001
0.0768 0.08602 0.07545369 0.09500001
0.08692 0.08502 0.084 0.09529002
0.08692 0.08502 0.084 0.09529002
0.08502001 0.082 0.0817 0.08759408
0.08502001 0.082 0.0817 0.08759408
0.08200356 0.08949498 0.0811111 0.0965
0.08200356 0.08949498 0.0811111 0.0965
0.08949498 0.091554 0.0867 0.0949
0.08949498 0.091554 0.0867 0.0949
0.091554 0.10252598 0.091155 0.1279
0.091554 0.10252598 0.091155 0.1279
0.10252598 0.09801 0.095 0.1069822
0.10252598 0.09801 0.095 0.1069822
0.09801 0.098295 0.0927 0.10899
0.09801 0.098295 0.0927 0.10899
0.098 0.109112 0.09758296 0.113
0.098 0.109112 0.09758296 0.113
0.10805641 0.112358 0.1004 0.12500004
0.10805641 0.112358 0.1004 0.12500004
0.11064801 0.125 0.11064801 0.1299
0.11064801 0.125 0.11064801 0.1299
