8116 4 4
9.0E-4 0.001076 9.0E-4 0.0011
9.0E-4 0.001076 9.0E-4 0.0011
0.001 9.8E-4 9.25E-4 0.0011887
0.001 9.8E-4 9.25E-4 0.0011887
9.8E-4 0.001141 9.011E-4 0.00134
9.8E-4 0.001141 9.011E-4 0.00134
0.0012 0.00123 0.0011 0.00125
0.0012 0.00123 0.0011 0.00125
0.00118 0.00145 0.00115 0.00169
0.00118 0.00145 0.00115 0.00169
0.00158698 0.00181018 0.00145 0.00192
0.00158698 0.00181018 0.00145 0.00192
0.0017 0.00171 0.0014555 0.00184996
0.0017 0.00171 0.0014555 0.00184996
0.00171 0.0016109 0.0016 0.001769
0.00171 0.0016109 0.0016 0.001769
0.00161 0.00181 0.00155 0.00181
0.00161 0.00181 0.00155 0.00181
0.00181 0.00124 0.0012302 0.001811
0.00181 0.00124 0.0012302 0.001811
0.00156 0.00156 0.00131 0.00185
0.00156 0.00156 0.00131 0.00185
0.00156 0.00164 0.00149 0.00169
0.00156 0.00164 0.00149 0.00169
0.00164 0.0017 0.00148 0.0017989
0.00164 0.0017 0.00148 0.0017989
0.00165 0.00179001 0.00157 0.001874
0.00165 0.00179001 0.00157 0.001874
0.00179001 0.00179999 0.00169 0.00196
0.00179001 0.00179999 0.00169 0.00196
0.001695 0.00178 0.00168 0.0019
0.001695 0.00178 0.00168 0.0019
0.00174 0.0017005 0.0017 0.0017921
0.00174 0.0017005 0.0017 0.0017921
0.0016802 0.00164 0.001555 0.001747
0.0016802 0.00164 0.001555 0.001747
0.001636 0.00161 0.00141 0.00169899
0.001636 0.00161 0.00141 0.00169899
0.001603 0.001825 0.00156001 0.001825
0.001603 0.001825 0.00156001 0.001825
0.0017 0.00156 0.00156 0.0018
0.0017 0.00156 0.00156 0.0018
0.00156 0.00148 0.00148 0.001649
0.00156 0.00148 0.00148 0.001649
0.00148 0.00148 0.00148 0.00148
0.00148 0.00148 0.00148 0.00148
0.00148 0.00148 0.00148 0.00148
0.00148 0.00148 0.00148 0.00148
0.00148 0.00148 0.00148 0.00148
0.00148 0.00148 0.00148 0.00148
0.0015 0.001515 0.001475 0.00155
0.0015 0.001515 0.001475 0.00155
0.001549 0.00144 0.0014 0.001549
0.001549 0.00144 0.0014 0.001549
0.00144 0.0015249 0.00138001 0.00153
0.00144 0.0015249 0.00138001 0.00153
0.00145001 0.00169 0.00145 0.00175
0.00145001 0.00169 0.00145 0.00175
0.00158 0.001581 0.001525 0.0016
0.00158 0.001581 0.001525 0.0016
0.001581 0.00157104 0.0014522 0.0015999
0.001581 0.00157104 0.0014522 0.0015999
0.001501 0.0015302 0.00147 0.00159
0.001501 0.0015302 0.00147 0.00159
0.0015302 0.001456 0.001455 0.0015549
0.0015302 0.001456 0.001455 0.0015549
0.00146 0.00144101 0.0013816 0.0015399
0.00146 0.00144101 0.0013816 0.0015399
0.0015 0.00142005 0.00141201 0.0015
0.0015 0.00142005 0.00141201 0.0015
0.0014502 0.00144 0.00141202 0.00158
0.0014502 0.00144 0.00141202 0.00158
0.001525 0.00147001 0.00143001 0.001525
0.001525 0.00147001 0.00143001 0.001525
0.0014799 0.001625 0.00141203 0.001625
0.0014799 0.001625 0.00141203 0.001625
0.001625 0.00146001 0.00146001 0.00166
0.001625 0.00146001 0.00146001 0.00166
0.0015 0.0015002 0.0014881 0.00163
0.0015 0.0015002 0.0014881 0.00163
0.00150025 0.0014809 0.00148 0.00165999
0.00150025 0.0014809 0.00148 0.00165999
0.00151 0.0015 0.001477 0.00151
0.00151 0.0015 0.001477 0.00151
0.00147701 0.00145204 0.00145204 0.0015
0.00147701 0.00145204 0.00145204 0.0015
0.0015 0.001441 0.00143 0.0015
0.0015 0.001441 0.00143 0.0015
0.001441 0.0015 0.001441 0.0015
0.001441 0.0015 0.001441 0.0015
0.00152 0.00150101 0.00150101 0.00157
0.00152 0.00150101 0.00150101 0.00157
0.00150101 0.00141204 0.00141204 0.00157
0.00150101 0.00141204 0.00141204 0.00157
0.00148 0.0013549 0.0013501 0.00149
0.00148 0.0013549 0.0013501 0.00149
0.001469 0.00145 0.00137 0.00149
0.001469 0.00145 0.00137 0.00149
0.001485 0.001486 0.00139 0.001486
0.001485 0.001486 0.00139 0.001486
0.00148499 0.001491 0.00142101 0.001491
0.00148499 0.001491 0.00142101 0.001491
0.00146 0.001251 0.001251 0.0014799
0.00146 0.001251 0.001251 0.0014799
0.00136 0.00147 0.001136 0.00147
0.00136 0.00147 0.001136 0.00147
0.00147 0.00136 0.00130001 0.00147
0.00147 0.00136 0.00130001 0.00147
0.0013 0.0013 0.0012623 0.00141
0.0013 0.0013 0.0012623 0.00141
0.0013012 0.0013 0.001203 0.00134
0.0013012 0.0013 0.001203 0.00134
0.001315 0.0013799 0.001315 0.00138
0.001315 0.0013799 0.001315 0.00138
0.00137 0.00132 0.00132 0.0015999
0.00137 0.00132 0.00132 0.0015999
0.00133 0.00139 0.001316 0.00141
0.00133 0.00139 0.001316 0.00141
0.001315 0.0012999 0.00125601 0.001315
0.001315 0.0012999 0.00125601 0.001315
0.00129 0.00122021 0.00121 0.0013966
0.00129 0.00122021 0.00121 0.0013966
0.0012501 0.0012975 0.00121 0.0012975
0.0012501 0.0012975 0.00121 0.0012975
0.0013 0.001261 0.001261 0.00131
0.0013 0.001261 0.001261 0.00131
0.001261 0.001265 0.001261 0.001275
0.001261 0.001265 0.001261 0.001275
0.001321 0.00135 0.001251 0.0015919
0.001321 0.00135 0.001251 0.0015919
0.00133 0.0014 0.0013 0.0014
0.00133 0.0014 0.0013 0.0014
0.0013048 0.00130239 0.0013007 0.0014
0.0013048 0.00130239 0.0013007 0.0014
0.00132001 0.00138 0.00132001 0.001569
0.00132001 0.00138 0.00132001 0.001569
0.00138 0.0014 0.00130237 0.0014998
0.00138 0.0014 0.00130237 0.0014998
0.0014 0.001401 0.0014 0.0015
0.0014 0.001401 0.0014 0.0015
0.0014 0.00136111 0.00136 0.0014
0.0014 0.00136111 0.00136 0.0014
0.00136111 0.0014 0.00136111 0.0014698
0.00136111 0.0014 0.00136111 0.0014698
0.0014 0.001312 0.00130238 0.0014
0.0014 0.001312 0.00130238 0.0014
0.001365 0.0014 0.0013007 0.0014
0.001365 0.0014 0.0013007 0.0014
0.0013007 0.00141 0.0013007 0.00144499
0.0013007 0.00141 0.0013007 0.00144499
0.00141 0.001395 0.001281 0.00141
0.00141 0.001395 0.001281 0.00141
0.00139 0.00128901 0.00128901 0.00143
0.00139 0.00128901 0.00128901 0.00143
0.00131 0.00131 0.00131 0.00142
0.00131 0.00131 0.00131 0.00142
0.00138 0.001313 0.001313 0.00138
0.00138 0.001313 0.001313 0.00138
0.001313 0.00132901 0.0012501 0.001377
